sad;92;
born;92;
age;92;2
past;92;
'gainst;92;
seems;92;86
horse;92;
ear;92;
so:;91;
wise;91;
wert;91;
gone.;91;
way,;91;
face,;91;
place,;90;
no.;90;
hide;90;
sir:;90;
among;90;
touch;90;
e'er;90;
daughter,;90;
word,;90;
hence,;90;
beauty;90;
people;90;
words,;90;
day.;90;
sin;89;
mother,;89;
lend;89;
fault;89;
white;89;
earth,;89;
met;89;
child;89;
appear;89;
went;89;
't.;89;
peace!;89;
sirrah,;88;3
die.;88;
mercy;88;
do.;88;
women;88;
sight;88;
second;87;
live,;87;
grant;87;
pleasure;87;
pass;87;
point;87;
i.;86;
receive;86;
one.;86;
shake;86;
there.;86;
deliver;86;
buy;86;
bears;86;
golden;86;
edward;86;
letters;85;
feel;85;
foot;85;
witness;85;
rome,;85;
cousin,;85;
father.;84;
duty;84;
together;84;
confess;84;
be.;84;
commend;84;
toward;84;
off,;84;
mortal;84;
stay,;84;
weep;83;
him!;83;1
flesh;83;
not:;83;
bed;83;
grave;83;4
speaks;83;
thou?;83;
ready;83;
lack;82;
understand;82;
sick;82;
question;82;
gentlemen,;82;
prince,;82;
word.;82;
men's;82;
sword,;82;
hope,;81;
kept;81;
themselves;81;
voice;81;
done.;81;
content;81;
stop;81;203
stood;81;
choose;80;
land;80;
whether;80;
die,;80;
coming;80;
hours;80;
shows;80;
suit;80;
then?;80;
foolish;80;
spirits;80;
dead.;80;
york;80;
home,;79;
issue;79;
pale;79;
truly,;79;
deed;79;
piece;79;
music;79;
mistress,;78;
woman's;78;
truth,;78;
say.;78;
carry;78;3
mock;78;
perceive;78;
forget;78;
liege,;78;
richard;78;
enemy;77;
goodly;77;
nature,;77;
haste;77;
whence;77;
weak;77;
fortunes;77;
fearful;77;2
troth,;77;
ring;77;
laid;77;
strength;77;
morrow,;77;
heavens;77;
cæsar,;77;
now?;77;
princely;77;
uncle;77;
time.;76;
sake,;76;
longer;76;
move;76;
try;76;
beg;76;
she,;76;
true.;76;
faith;76;
that.;76;
air;76;
dangerous;76;
fie,;76;
brother's;76;
ears;75;
held;75;
men.;75;
maid;75;
revenge;75;
until;75;
sing;75;
small;75;
villain,;75;
earl;75;
york,;75;
count;74;
youth,;74;
are,;74;
tongue,;74;
yours,;74;1
whither;74;
greater;74;
mind,;74;
antony;74;
force;74;
mine.;74;
husband,;73;
takes;73;
to,;73;
living;73;
mother's;73;
thus,;73;
wonder;73;6
fellow,;73;
wast;73;
thee?;73;
straight;73;
who's;73;
night.;73;
's;73;
plague;73;
wild;73;
ta'en;73;
in.;72;
quickly;72;18
yours;72;
hands,;72;
holds;72;
matter?;72;
sorry;72;
myself.;72;
bed,;72;
justice;72;
state,;72;
gentleman,;72;
watch;72;
john,;72;
ourselves;71;31
towards;71;
act;71;
blessed;71;
nothing,;71;
her?;71;
country;71;
begin;71;
madam.;71;
patience;71;
man?;71;
arm;71;
'twixt;71;
curse;71;
wars;70;
was,;70;37
sense;70;
writ;70;
shame,;70;
promise;70;
scarce;70;
taken;70;
himself,;70;
action;70;
gods,;70;
parts;69;9
scorn;69;
hurt;69;
title;69;
broke;69;
close;69;
respect;69;
water;69;
sister;69;
chance;69;
villain;69;29
woman,;69;
heir;69;
warwick,;69;
several;68;
passion;68;
behind;68;
way.;68;
truly;68;
shouldst;68;
hear,;68;
he?;68;
ground;68;
house.;68;
fine;68;
measure;68;
sea,;68;3
boy;68;
person;68;
fresh;68;
favour;67;
wisdom;67;
loss;67;
fortune,;67;
lords;67;
thanks,;67;
wife.;67;
although;67;
bosom;67;
tears,;67;
city;67;118
hark!;67;
already;67;
died;67;
learn;67;
oath;67;
england,;67;
alone;66;
friends.;66;
feed;66;
thanks;66;
whereof;66;
rest,;66;
plain;66;
head.;66;
quite;66;
presently;66;
double;66;55
quarrel;66;
offer;66;
company;66;
fair,;66;
't,;66;
cæsar's;66;
struck;66;
kill'd;66;
stir;65;
besides,;65;
suffer;65;
bitter;65;
sons;65;
war,;65;
damned;65;
counsel;65;
drop;65;
forgive;65;
whiles;65;
brutus;65;
fast;65;
up.;64;
steal;64;
quoth;64;
then.;64;
captain;64;
shall,;64;
office;64;
world.;64;
ancient;64;
going;64;
aught;64;
side;64;
march;64;
virtuous;63;4
calls;63;
making;63;
twice;63;
